Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3617uVKKXMbjqrqcdqLW3D,"Take My Time","Hey Hey My My Yo Yo","Junior Senior",2005-12-09,229266,0,false,11149242335,2020-04-17T09:00:41Z,"","Crunchy Frog",0.725,0.948,2,-2.884,1,0.0453,0.0109,0,0.0963,0.854,111.939,4
spotify:track:0QSUKYtkFir6GyoplL3Fkb,"Can I Get Get Get","Hey Hey My My Yo Yo","Junior Senior",2005-12-09,192546,0,false,11149242335,2020-04-17T09:00:51Z,"","Crunchy Frog",0.685,0.965,0,-2.192,1,0.0693,0.00516,0.0000108,0.27,0.919,101.163,4
spotify:track:3IwEwlFJNgZz0wAWen1ik1,"Shake Your Coconuts","D-D-Don't Don't Stop the Beat","Junior Senior",2002-04-03,146360,0,false,11149242335,2020-04-17T09:01:05Z,"","Crunchy Frog",0.691,0.979,3,-1.401,1,0.091,0.216,0.00000948,0.087,0.928,138.04,4
spotify:track:3UhRKYA9kLmbb77hzdTMbR,"Un rêve à deux","Plage d'or","Jean Tonique,Bleu Platine",2016-11-25,201521,0,false,11149242335,2020-04-17T09:09:06Z,"nu disco,house francés,indie pop francés","Partyfine",0.874,0.714,5,-6.433,0,0.0765,0.254,0.0544,0.0982,0.864,115.031,4
spotify:track:2dkSknVUCvRJ8OTayCMQN5,"Lit Up","Lit Up","Jean Tonique,DiRTY RADiO",2016-07-08,222109,0,false,11149242335,2020-04-17T09:09:12Z,"nu disco,house francés,indie pop francés","Partyfine",0.801,0.674,1,-5.939,1,0.336,0.0628,0.00000362,0.0405,0.77,118.96,4
spotify:track:4sFyLyuJOUVMDcaSg1oHEa,"Dopamine","Dance Moves","Franc Moody",2018-03-27,243945,1,false,11149242335,2020-04-17T09:10:28Z,"nu disco","Juicebox Recordings",0.818,0.562,10,-7.779,0,0.0356,0.0987,0.813,0.355,0.57,125.03,4
spotify:track:38MsKd7xeOOjatKBcKDpLT,"Guess","Changes","Wet Baes",2017-06-09,248000,33,false,11149242335,2020-04-17T09:11:59Z,"indie mexicano,indie latino,vaporwave","Bludot Recordings",0.81,0.507,10,-9.066,0,0.0427,0.179,0.000109,0.0852,0.628,103.999,4
spotify:track:5ZRsPwkb3gc0DemnomxeCJ,"Epton on Broadway Pt. 1","Work","Holy Ghost!",2019-06-21,266958,0,false,11149242335,2020-04-17T09:12:21Z,"nu disco,indie dance,dance alternativo","West End Records",0.735,0.715,0,-6.846,0,0.0523,0.408,0.0307,0.159,0.551,99.896,4
spotify:track:4c60yLpE5lXvICT0pyEaZ5,"Better Give U Up","French Kiwi Juice","FKJ",2017-03-03,256799,63,false,11149242335,2020-04-17T09:12:41Z,"","Roche Musique",0.525,0.72,11,-6.916,0,0.169,0.176,0.0066,0.0769,0.484,91.706,4
spotify:track:4ZTm5E2UsK7keRNXIQgROw,"Do You Remember?","Do You Remember?","Blende,Mickael Karkousse",2018,178825,3,false,11149242335,2020-04-17T09:13:10Z,"nu disco,house francés,indie dance,funky house,synthpop,synthwave","Eskimo Recordings",0.642,0.948,10,-6.557,1,0.0468,0.00249,0.266,0.309,0.937,119.014,4
spotify:track:0f5fAOBIENV9BKm9tcNLC6,"Paramount","Paramount EP","Blende",2014,335680,6,false,11149242335,2020-04-17T09:13:38Z,"nu disco,house francés,indie dance,funky house,synthpop,synthwave","Eskimo Recordings",0.756,0.758,5,-6.387,1,0.0676,0.0307,0.907,0.109,0.811,125.002,4
spotify:track:5gf6B78U9yT5inZsJidlVO,"Something More","Walk Dance Talk Sing","Crazy P",2015-05-11,366889,0,false,11149242335,2020-04-17T09:14:13Z,"nu disco,disco house,funky house","Walk Don't Walk Limited",0.858,0.492,8,-6.626,1,0.0397,0.15,0.881,0.0922,0.516,95.004,4
spotify:track:0oLtiMnTizg2Lw5f74z9Gm,"Leila - Poolside Remix","Leila (Poolside Remix)","Miami Horror,Poolside",2017-06-30,318461,0,false,11149242335,2020-04-17T09:14:52Z,"nu disco,electroclash,indie dance","Independent",0.769,0.768,4,-7.542,0,0.0366,0.0139,0.0215,0.0469,0.825,103.997,4
spotify:track:4HjbeXlOnMWEYpRqR06rbI,"New Paradise","Bermuda EP","Harvey Sutherland",2015-07-03,410798,0,false,11149242335,2020-04-17T09:19:36Z,"jazz house,lo-fi house","MCDE Recordings",0.818,0.411,10,-8.204,0,0.055,0.178,0.0526,0.1,0.794,119.012,4
spotify:track:2egxNTT49OGv33MMzwt9GU,"Open For Service","When We On","Crazy P",2011-09-18,407040,0,false,11149242335,2020-04-17T09:20:24Z,"nu disco,disco house,funky house","2020Vision",0.817,0.629,5,-7.737,0,0.0357,0.0505,0.12,0.0927,0.751,126.002,4
spotify:track:22mxD19TzTV2yuC6I5MFKA,"Gonna Be - Ben Human Remix","Gonna Be","Mo' Horizons,Ben Human",2003-08-29,355440,0,false,11149242335,2020-04-17T09:21:19Z,"acid jazz,nu jazz","Agogo Records",0.888,0.78,10,-8.711,0,0.0797,0.00492,0.356,0.0675,0.746,110.005,4
spotify:track:4dhARBZ8YLvm8oRDnCIeXr,"Necessary Evil","Multi-Love","Unknown Mortal Orchestra",2015-05-26,317800,0,false,11149242335,2020-04-17T09:21:48Z,"neopsicodelia","Jagjaguwar",0.828,0.724,9,-7.217,1,0.113,0.045,0.0618,0.132,0.694,96.2,4
spotify:track:1FqHPzJuRdupHbcw09tYUa,"Except Death","Thr!!!er","!!!",2013,277000,0,false,11149242335,2020-04-17T09:24:13Z,"dance alternativo,new rave,electroclash","Warp Records",0.812,0.776,9,-7.223,1,0.0386,0.00996,0.0706,0.0737,0.912,118.021,4
spotify:track:0JgZO1d9PMhgrA1F3GCbsQ,"No Matter What You're Told","After the Disco","Broken Bells,Danger Mouse,James Mercer",2014-01-13,230720,42,false,11149242335,2020-04-17T09:24:57Z,"","Columbia",0.725,0.797,7,-7.167,1,0.0378,0.163,0,0.171,0.934,124.969,4
spotify:track:5C8Vwr9o1WtsoDVPFqPCob,"It's That Talk Again","It's That Talk Again","Broken Bells,Danger Mouse,James Mercer",2015-09-25,241333,48,false,11149242335,2020-04-17T09:25:13Z,"","Columbia",0.659,0.758,0,-6.424,1,0.0448,0.0502,0.0000879,0.0822,0.562,122.945,4
spotify:track:4uWMqVkEh7Beb6LXHIKDWS,"I Saw You Close Your Eyes","I Saw You Close Your Eyes","Local Natives",2017-03-23,216840,0,false,11149242335,2020-04-17T09:26:26Z,"","Infectious",0.385,0.604,9,-6.709,1,0.0321,0.0753,0.0000127,0.718,0.251,77.468,4
spotify:track:5cagV1Jhr3qWMc17maGHtf,"Pretender","Weight Against the Door","Black Marble",2012-01-17,204973,0,false,11149242335,2020-04-17T09:26:40Z,"coldwave,dark wave,post-punk,dream pop","Hardly Art",0.582,0.519,7,-15.916,0,0.0427,0.141,0.85,0.147,0.664,179.916,4
spotify:track:4Jv7lweGIUOFQ7Oq2AtAh9,"I Follow Rivers - The Magician Remix","I Follow Rivers (The Magician Remix)","Lykke Li,The Magician",2011-10-10,280069,74,false,11149242335,2020-04-17T09:27:09Z,"","Atlantic Records",0.786,0.696,9,-5.796,0,0.0428,0.0234,0.0019,0.0839,0.306,121.974,4
spotify:track:7JPZYBDynF6KlqJyLfTI3K,"Acceptable in the 80's","I Created Disco","Calvin Harris",2007-06-18,332826,41,false,11149242335,2020-04-17T09:37:25Z,"edm","Columbia",0.79,0.807,7,-5.417,1,0.0505,0.0134,0.271,0.055,0.931,127.997,4
spotify:track:5De1egu9jjq7NuMBDKySpm,"Happy Idiot","Seeds","TV On The Radio",2014-11-14,183002,0,false,11149242335,2020-04-17T09:44:48Z,"indie rock,indie","Universal Music Group",0.628,0.944,11,-4.155,0,0.0652,0.00234,0.000658,0.0755,0.867,140.001,4
spotify:track:35U4PXL3W3XIkAjEUdhr36,"Harvest Moon","Pacific Standard Time","Poolside",2012-07-09,368773,67,false,11149242335,2020-04-17T09:48:03Z,"nu disco","Poolside",0.782,0.621,2,-5.825,1,0.0411,0.288,0.537,0.583,0.917,106.022,4
spotify:track:1uyj6ycPIp7i907LsGbUmA,"Lift Me Up","Take from Me","Dojo Cuts,Roxie Ray",2012-04-16,269706,35,false,11149242335,2020-04-17T09:48:23Z,"retro soul","DCR",0.67,0.632,7,-7.947,1,0.114,0.0568,0.000172,0.0383,0.804,90.219,4
spotify:track:5d6C3XycqRLFAGLtyO3Rfx,"Keep The Faith","First Landing","Moon Boots,Nic Hanson",2017-08-04,258034,52,false,11149242335,2020-04-17T09:48:38Z,"nu disco","Anjunadeep",0.822,0.564,10,-6.669,1,0.0448,0.0304,0.0465,0.139,0.472,116.02,4
spotify:track:5vOSahSFyo87bRpf3yoBNg,"I'm Doing Fine (feat. Amp Dog Knight)","Black Mahogani","Moodymann,Amp Dog Knight",2004-04-01,556280,44,false,11149242335,2020-04-17T09:49:21Z,"jazz house,house de chicago,deep house","Moodymann",0.797,0.343,11,-15.334,1,0.0495,0.0692,0.362,0.479,0.536,119.988,4
spotify:track:4F9VUeWkm7EN8L8OMySk8Q,"Paradise","Paradise / Mice Life / Subcoinscient Lamentation","Payfone",2015-06-07,462090,0,false,11149242335,2020-04-17T09:49:47Z,"","Golf Channel Recordings",0.784,0.512,10,-10.242,0,0.0811,0.00213,0.816,0.563,0.504,109.989,4
spotify:track:7EuTFqQnMZoIaGisMRCtf6,"Flashed Junk Mind","Sadnecessary","Milky Chance",2013-05-31,262000,0,false,11149242335,2020-04-17T09:51:10Z,"","Lichtdicht Records",0.839,0.84,11,-8.721,1,0.0474,0.389,0.0319,0.114,0.904,117.98,4
spotify:track:6O7qFEXmLQcOsV37wrgJDz,"Muy Tranquilo","SB3","Gramatik",2010-07-29,233755,0,false,11149242335,2020-04-17T09:52:11Z,"electro swing,trip hop,nu jazz,downtempo","Lowtemp",0.641,0.621,7,-3.88,1,0.0524,0.24,0.0299,0.175,0.749,89.926,4
spotify:track:02uRToy7bttYcKCO3vIStA,"Hit That Jive","SB2","Gramatik",2009-12-09,203050,0,false,11149242335,2020-04-17T09:52:14Z,"electro swing,trip hop,nu jazz,downtempo","Lowtemp",0.896,0.684,1,-6.099,1,0.0731,0.0461,0.051,0.164,0.686,99.995,4
spotify:track:6aBFjYfhZrgJtxiKaip1BH,"Skylight","Beatz & Pieces Vol. 1","Gramatik",2011-07-12,226333,0,false,11149242335,2020-04-17T09:52:18Z,"electro swing,trip hop,nu jazz,downtempo","Lowtemp",0.667,0.608,0,-6.071,1,0.11,0.0983,0.00186,0.336,0.684,90.045,4
spotify:track:7pcp6eknG7bwkEWKUVNbxQ,"Walkin' Down the Street","SB3","Gramatik",2010-07-29,208824,0,false,11149242335,2020-04-17T09:52:23Z,"electro swing,trip hop,nu jazz,downtempo","Lowtemp",0.811,0.922,1,-3.694,1,0.157,0.0449,0.457,0.364,0.8,116.512,4
spotify:track:7nZ9CzhiFRPhOQCn7eDSnn,"Vanille fraise","Vanille fraise","L'Impératrice",2015,238183,71,false,11149242335,2020-04-17T09:52:27Z,"indie pop francés,house francés,pop francés","microqlima",0.767,0.547,7,-11.458,0,0.0474,0.0399,0.485,0.0949,0.66,103.03,4
spotify:track:3ZzhV6JIDKWvWR7wiKWD0C,"La femme d'argent","Moon Safari","Air",1998-01-16,426614,67,false,11149242335,2020-04-17T09:52:30Z,"trip hop,downtempo","Parlophone (France)",0.489,0.735,6,-8.238,0,0.0345,0.529,0.686,0.422,0.528,159.716,4
spotify:track:21wi5JMAUs2eW5ACkwKzD1,"1968 - The Broken Tape","Moda Black Vol. IV","Jaymo & Andy George",2016-06-24,344819,2,false,11149242335,2020-04-17T09:55:17Z,"","Moda Black",0.672,0.712,11,-9.927,0,0.0552,0.00455,0.249,0.845,0.681,109.018,4
spotify:track:5zEXRXqnkKXKJajLhYh54t,"Hot Damn! - Gigamesh Remix","Unintentional (The Remixes)","Señor Stereo,Gigamesh",2011-02-01,263406,7,false,11149242335,2020-04-17T09:58:23Z,"nu disco,house francés,funky house,indie dance","Slow Roast Records",0.773,0.915,6,-5.741,1,0.127,0.131,0.316,0.376,0.63,119.971,4
spotify:track:49sMChf1zXNi3PEBZZ6Xwg,"Counting Down","Haiku From Zero","Cut Copy",2017-09-22,230786,39,false,11149242335,2020-04-17T09:58:48Z,"dance alternativo,indie dance,electrónica indie,new rave","Astralwerks (US1A)",0.594,0.848,1,-5.283,0,0.0391,0.4,0.00647,0.104,0.67,109.967,4
spotify:track:1ckAMi0OtEyf6KE7TyIWVW,"Nobody","Like I Usually Do","Q Funktion",2013-05-15,179874,38,false,11149242335,2020-04-17T10:00:46Z,"trip hop","Cold Busted",0.707,0.426,4,-10.18,0,0.0372,0.138,0.84,0.0848,0.349,90.979,4
spotify:track:7y5awe21QyVQmLzeb8CbOE,"Heartache","Skinshape","Skinshape",2014-10-13,198663,28,false,11149242335,2020-04-17T10:01:43Z,"","Melting Records",0.692,0.777,2,-8.011,1,0.0372,0.164,0.429,0.195,0.179,102.971,4
spotify:track:4Bn3gjSRZFLIPuZ14pBHB6,"Song For Her Joy","Like I Usually Do","Q Funktion",2013-05-15,186568,47,false,11149242335,2020-04-17T10:02:02Z,"trip hop","Cold Busted",0.764,0.554,11,-10.532,1,0.0468,0.0275,0.017,0.217,0.496,93.026,4
spotify:track:5maosvba9QkQP14u6vtxog,"Montreal","Elliot - EP","Roosevelt",2013-08-19,236335,1,false,11149242335,2020-04-17T10:02:30Z,"nu disco","Greco-Roman",0.669,0.642,5,-9.004,1,0.0515,0.00221,0.834,0.203,0.838,115.973,4
spotify:track:0upn2c2d9jGu6nI6hiTjW9,"Just Do You","Just Do You","Lord Echo,Mara TK",2016-12-09,379229,0,false,11149242335,2020-04-17T23:36:48Z,"indie soul","Soundway Records",0.9,0.583,11,-8.936,0,0.0436,0.0141,0.0411,0.269,0.951,126.041,4
spotify:track:7yxFM4tV10Rc9bBmNugucd,"Never Feel Cold (feat. Mendee Ichikawa)","Bosq y Orquesta de Madera","Bosq,Mendee Ichikawa",2013-09-17,296533,0,false,11149242335,2020-04-18T01:20:30Z,"disco house,nu disco","Ubiquity Recordings, Inc.",0.809,0.628,10,-7.858,0,0.0381,0.0562,0.478,0.167,0.859,97.978,4
spotify:track:6s1Msf610dGgFssPHUevdN,"Come Close To Me","Love Songs: Part Two","Romare",2016-11-11,401125,38,false,11149242335,2020-04-26T16:02:19Z,"","Ninja Tune",0.807,0.335,1,-10.661,1,0.159,0.141,0.818,0.0581,0.384,110.005,4
spotify:track:6MDLO5bi8mGexqSwF9KmpH,"Lilly","What For?","Toro y Moi",2015-04-07,267788,0,false,11149242335,2020-05-08T12:41:10Z,"chillwave","Carpark Records",0.47,0.652,3,-6.501,1,0.0335,0.0446,0.0635,0.311,0.524,139.975,4
spotify:track:2DoO0sn4SbUrz7Uay9ACTM,"Tailwhip","Tailwhip","Men I Trust",2017-08-18,225263,1,false,11149242335,2020-05-08T12:41:33Z,"bedroom pop,indie pop","Men i Trust",0.8,0.655,9,-8.877,0,0.0416,0.415,0.0074,0.0961,0.598,114.004,4
spotify:track:1dumnZ0E3WWpX81Rj2nENZ,"Onda","Brazilian Compilation Series Vol. 1","Poolside,Fatnotronic",2015-05-01,419500,39,false,11149242335,2020-05-08T12:42:07Z,"nu disco","Chit Chat Records",0.662,0.68,0,-8.66,1,0.0407,0.0573,0.784,0.336,0.78,100.002,4
spotify:track:6aVBDNURTjnXsXN9x4w3VM,"Mystery","Ed Rec 100","Breakbot",2017-05-12,314866,34,false,11149242335,2020-05-08T12:42:15Z,"house francés,nu disco","Ed Banger Records",0.794,0.56,11,-6.823,0,0.104,0.00194,0.0000457,0.0864,0.679,117.97,4
spotify:track:66hkKBOzU29h6OqaROxnsj,"Floating By","Mister Mellow","Washed Out",2017-06-30,221701,17,false,11149242335,2020-05-08T12:42:34Z,"chillwave,dream pop","Washed Out",0.539,0.829,6,-5.587,0,0.0604,0.676,0.000897,0.222,0.414,90.009,4
spotify:track:0nKe1H75sjT2lQMH1gjR3e,"Ghostly","Syvsover","Jesper Ryom",2013-05-24,360118,46,false,11149242335,2020-05-09T19:04:49Z,"lo-fi house,indie soul","Freude am Tanzen",0.752,0.566,6,-9.683,1,0.153,0.00205,0.859,0.104,0.357,123.025,3
spotify:track:4Ri84aoor16uSkNtpAvPgQ,"The Big Unknown","Elder Island","Elder Island",2014-07-28,303571,52,false,11149242335,2020-05-15T15:36:56Z,"","Elder Island",0.919,0.44,1,-11.588,1,0.0689,0.173,0.00392,0.0681,0.369,114.972,4
spotify:track:2QoiyjegLQ3DWKBfFX9ihX,"Time (You and I)","Time (You and I)","Khruangbin",2020-04-27,342189,0,false,11149242335,2020-05-15T15:37:20Z,"neopsicodelia","Dead Oceans",0.751,0.491,11,-13.677,1,0.045,0.00945,0.149,0.0708,0.926,105.408,4
spotify:track:2Y28HmBMyRrCgL0PTbkP7O,"What's It All For?","What's It All For?","Yellow Days",2018-11-07,251422,41,true,11149242335,2020-05-15T15:38:24Z,"bedroom pop","Columbia",0.821,0.666,3,-7.747,0,0.0469,0.649,0.0288,0.114,0.695,99.998,4
spotify:track:2DKhE0CxWGYoYQxYYbLrjJ,"Got It Bad","Leisure","LEISURE",2016-10-21,205601,0,false,11149242335,2020-05-18T15:02:06Z,"indie soul","Nettwerk Records",0.793,0.468,11,-10.054,1,0.0408,0.00839,0.0786,0.0689,0.534,95.999,4
spotify:track:3bi9LdoayzjhpriotcubGd,"Night Patrol","Night Patrol - Single","Lifelike",2013-12-16,470000,0,false,11149242335,2020-05-18T15:18:26Z,"house francés,synthwave,nu disco,disco italiana","Computer Science",0.684,0.922,0,-4.047,1,0.0488,0.111,0.752,0.309,0.686,120.012,4
spotify:track:2sb2c6OyaIM4jyYRmkCdKS,"A New Feeling (feat. Flamingosis)","Crust Fm","Engelwood,Flamingosis",2017-12-06,201465,0,false,11149242335,2020-05-25T02:35:29Z,"lo-fi beats,ritmos de jazz,vaporwave","Engelwood",0.847,0.838,11,-11.037,0,0.188,0.00878,0.00201,0.0572,0.456,116.009,4
spotify:track:6kx8Hf1Udk4V0Ivq6zpoyG,"Crystal Dolphin","Crust Fm","Engelwood",2017-12-06,115517,0,false,11149242335,2020-05-25T02:35:37Z,"lo-fi beats,ritmos de jazz","Engelwood",0.567,0.687,1,-9.041,0,0.125,0.36,0.00293,0.474,0.396,128.201,4
spotify:track:5EWchHuCyR70QZlIDZ2WwE,"Reef","Crust Fm","Engelwood",2017-12-06,176184,0,false,11149242335,2020-05-25T02:42:05Z,"lo-fi beats,ritmos de jazz","Engelwood",0.653,0.345,6,-8.657,1,0.0872,0.21,0.901,0.107,0.266,152.594,4
spotify:track:2lqrFE5nGiekdsPBvT2mX3,"Easy to Get","Why Make Sense? (Definitive Version)","Hot Chip",2015-10-23,310373,0,false,11149242335,2020-05-28T15:13:54Z,"dance alternativo,new rave,indie dance","Sony Music Latin",0.882,0.499,5,-7.729,0,0.0879,0.272,0.000045,0.275,0.508,115.983,4
spotify:track:04jqhpf3oV06HtlmthfcZZ,"All Night","Love Songs: Part Two","Romare",2016-11-11,294211,57,false,11149242335,2020-05-28T15:14:30Z,"","Ninja Tune",0.885,0.485,10,-9.299,1,0.0872,0.0868,0.79,0.0883,0.67,106.394,4
spotify:track:2av2ClQmI4mMH3pAxsPYYf,"Hello? Is This Thing On?","Louden Up Now","!!!",2004-06-08,453426,0,false,11149242335,2020-05-28T15:15:58Z,"dance alternativo,new rave,electroclash","Touch and Go Records",0.768,0.677,7,-8.24,1,0.038,0.049,0.00216,0.105,0.674,124.014,4
spotify:track:5pqbHlHaVbkHJQlsAxhcZM,"Safe and Sound","Woman","Justice",2016-11-18,345303,55,false,11149242335,2020-05-28T15:17:11Z,"house francés,new rave","Genesis",0.602,0.793,6,-5.198,0,0.0623,0.0000779,0.139,0.0968,0.583,115.001,4
spotify:track:03N5HpxB95FPDJ54hSUewi,"Sand in the Potato Salad","Crust Fm","Engelwood",2017-12-06,149477,0,false,11149242335,2020-05-28T15:41:43Z,"lo-fi beats,ritmos de jazz","Engelwood",0.642,0.378,2,-7.588,1,0.0489,0.539,0.821,0.11,0.593,88.529,4
spotify:track:7bYj8bk1mM7qarXO73sRI5,"Luv Is Not Enough","Luv Is Not Enough","Miami Horror,Forrest Mortifee",2019-10-11,197894,0,false,11149242335,2020-05-28T18:33:48Z,"nu disco,electroclash,indie dance","Miami Horror",0.706,0.534,8,-8.083,0,0.0547,0.292,0.00665,0.253,0.541,114,4
spotify:track:6lv5xJNWI2fYwjrPG4KFSe,"Beacon","Beacon","Matt Duncan",2010-05-01,214372,0,false,11149242335,2020-06-06T20:14:02Z,"retro soul","HOP HOP",0.714,0.457,8,-7.376,1,0.0392,0.432,0.000176,0.0785,0.509,86.004,4
spotify:track:1mqxC4tqJgSNdIy1sj5kFR,"Money","Twister","LEISURE",2019-07-26,239000,0,false,11149242335,2020-06-07T23:31:40Z,"indie soul","Nettwerk Records",0.823,0.475,5,-8.556,1,0.0543,0.0175,0.421,0.0605,0.779,90.032,4
spotify:track:7baNYnxas4NlQXcoj6kSmp,"Esperar Pra Ver","Brazilian Compilation Series Vol. 2","Poolside,Fatnotronic",2017-02-27,300000,53,false,11149242335,2020-06-07T23:52:35Z,"nu disco","Chit Chat Records®",0.783,0.7,6,-7.862,0,0.0367,0.0329,0.249,0.0888,0.846,99.991,4
spotify:track:5cY6iwmzNfroYMCuLOlJio,"Áfrika","Destellos","CLUBZ",2018-09-28,223666,52,false,11149242335,2020-06-11T02:01:43Z,"indie latino,indie mexicano,música alternativa latina","CLUBZ",0.578,0.727,1,-4.71,1,0.0696,0.0512,0.23,0.105,0.79,194.053,4
spotify:track:3t3lP88R2jYG9lMwFf9Sd5,"That Easy","Is Everything Okay In Your World?","Yellow Days",2017-10-27,268986,41,false,11149242335,2020-06-12T00:14:08Z,"bedroom pop","Columbia",0.496,0.809,1,-8.47,1,0.0331,0.0319,0.0172,0.254,0.55,81.995,4
spotify:track:3DXJaOI3mI10QkPhRu3r2p,"The Remains of Rock & Roll","After the Disco","Broken Bells,Danger Mouse,James Mercer",2014-01-13,294520,41,false,11149242335,2020-06-12T00:22:42Z,"","Columbia",0.622,0.676,0,-6.385,1,0.0252,0.012,0.0000182,0.0804,0.709,111.984,3
spotify:track:5kxinzQqkSJhL7QDdvkDFM,"Meet the Frownies","Meet the Frownies","Mr Twin Sister",2010-09-21,240493,0,false,11149242335,2020-06-12T00:31:20Z,"chillwave","Twin Group",0.663,0.444,11,-11.214,0,0.0338,0.274,0.659,0.388,0.2,122.974,4
spotify:track:11lbXJg7UJGxZrJnEMLlHL,"Yamaha","Yamaha","Aleksandir",2018-06-15,388484,46,false,11149242335,2020-06-12T00:51:57Z,"lo-fi house","Tessellate",0.789,0.502,5,-12.263,0,0.0517,0.299,0.917,0.0786,0.708,121.02,3
spotify:track:6TVF3IDy7LpY0oBQl9RY07,"Don't Blame Yourself","Star Stuff","Chaz Bundick Meets The Mattson 2",2017-03-31,493096,0,false,11149242335,2020-06-12T01:06:40Z,"","Company Records",0.417,0.843,0,-5.654,0,0.0535,0.0346,0.647,0.343,0.518,97.453,4
